,logFC,logCPM,F,PValue,FDR
ELOC,-0.516495532321906,6.47466865932481,48.6974930212182,3.83039878527904e-07,1.99322603456187e-06
ZNF703,-2.36661362677376,1.89405461386534,48.6592908790407,3.85458842574509e-07,2.0050064382769e-06
NABP2,0.993528499180224,5.58051500479157,48.6203899801071,3.87939117669295e-07,2.01709615245105e-06
CENPE,1.45882306115848,6.60310638107717,48.6034210454985,3.89026463751024e-07,2.02193649796773e-06
DDA1,-0.420953065355486,5.62227535883997,48.595388003457,3.89542364513463e-07,2.02380410116601e-06
LMNA,-0.880508883248451,6.31250718640344,48.5808897542569,3.90475358460387e-07,2.02783627298472e-06
SHISA7,3.96542945056519,0.153648860031791,48.5629009514232,3.91636353666131e-07,2.03304879818812e-06
PAFAH1B1,-0.469829851852699,7.12527776071134,48.5461564674386,3.92720411648449e-07,2.03785790484458e-06
MAP7D1,-0.755187808278927,5.35185516462564,48.5314851739025,3.93672928814577e-07,2.04186652128656e-06
ASB1,-0.445417269140395,5.48079532747409,48.5293947211067,3.93808853285425e-07,2.04186652128656e-06
APBB1,-0.852312553732843,6.3897598608678,48.5118381015946,3.94952426291579e-07,2.04697476433238e-06
