,TCF4,GATA4,CTCF,PRDM1,SMAD4,GATA6,FOXA1,NANOG,HNF4A,SOX17,FOXA2,POU5F1,SP1,SOX2,STAT3,KLF5,HNF1B,SRF,OTX2,THAP11,SMAD2,EOMES
AHSP,0.5889396999603029,-1.0,0.6242104228913514,0.7688358638622982,0.9371234273623245,0.39000263245853206,0.27396717408720583,0.2543364698420133,0.2785829480301371,0.2517398080022983,0.8415018206796642,0.5283560126202842,0.9135791853271253,0.5921546764288592,0.8356275890773475,0.7337645343725689,0.33817360514991657,0.3755448154647588,0.9266822315302295,0.20528544223540046,0.9669050668579451,0.8888998569710012
JAG1,0.0632148798910966,0.07898796769702987,0.20933726655023482,0.003006806427065264,0.9098012989289371,-1.0,0.21348486310215586,0.013336495892482082,0.05372036491266578,-1.0,0.04386645024998881,0.04043643321822709,0.1575922154999801,0.8204573880496644,-1.0,0.8590111084117371,0.002230001268790425,0.028572345606485947,0.01301124463001287,0.007799491963033507,0.5054715184424344,0.11925225350913544
PTGES,0.17577379638923862,0.5761378517246565,0.3645495492001247,0.003959286629490477,0.26111419159408905,0.004218944852316869,0.15654779068382393,0.20214187464043867,0.25135325248751994,0.08177753736546976,0.0009389319482947518,0.9289953657144999,0.8012193747981948,0.5861919011288043,0.6557853739647531,0.0008322500730980867,-1.0,0.0018771995653950292,0.036814945739246784,0.9953274369615043,0.032449336943935495,0.015606181641533524
BMPR2,0.5204605280971815,-1.0,0.002952176119028,0.13091867364686366,0.3252318638224275,0.2235547229123539,0.10727921294836207,0.5611772066229354,0.41692642076848474,-1.0,0.3895198744016073,0.10108815882522443,0.2319937629380119,0.8188812991502659,0.20884162004134632,0.40661528286080595,1.9870376388017485e-07,0.3840420778213526,0.11520997858910993,0.29568662521278744,0.1994859594253305,0.670435347012901
FANK1,-1.0,0.009317211160904948,0.0006111230512602928,0.9648053501622731,0.07424721163680252,0.20685865842322237,0.1108329919669184,0.31402054739701707,0.13951462321430516,0.04481739718993917,0.0038696627612187797,0.0007446316790003424,0.05705338823992946,0.18741797014911593,0.17735948282438752,0.1500865467803014,0.5807927091954894,0.09412916711442083,0.007114375279725736,0.058333581615227934,0.6068779708269083,0.17260982520018736
PGA5,0.6072264525088471,0.6679168732587963,0.3263691662692405,0.3522538057144554,0.6210987960684432,0.5786376254062997,0.1393007648987109,0.6783424258948795,0.08346833460802178,0.22951112899539602,0.29800499495936245,0.11448425809238916,0.5266596972909281,0.2507221696472637,0.4075434950462512,0.695554173386357,0.27708008091411657,0.9525516048352243,0.17030764507554935,0.5574254522638014,0.884571340208375,0.2558463989044298
THY1,0.43560817034705657,-1.0,0.6418301272587991,0.15292170646095576,0.7871154643197076,0.28849461311633995,0.6531366504011933,0.00045701324204397046,0.7910596599666708,-1.0,0.038175282650439686,0.13209261714436443,0.6778974711003188,0.905833416150789,0.20911450304979634,0.059196895334371134,0.05352100988534469,0.4494420017558245,0.4446866772129858,0.4443478251899132,-1.0,0.16030723035823236
LIFR,0.2527483304720627,-1.0,0.13805840783851836,0.519170630037239,0.0581127589596105,0.9062685989773647,0.009059274555037373,0.6917590831079174,0.046938551863615334,-1.0,-1.0,0.02852277482521026,0.5797422572971496,0.4862332257151206,0.04847150460131831,-1.0,0.00040699817284134415,0.18190003834404708,0.016767134988082293,0.11308294377262162,0.06538146551162272,-1.0
FBLL1,0.14653327812057146,0.008532961460798554,0.14000443189247472,0.2376309020919687,0.0001782678624137163,0.009117113215305785,0.32104479593175694,0.07976702501244745,0.05653667902428322,0.01389472593824822,0.08705429975291244,0.013517321876371939,0.593526007081396,0.00047551250553280966,0.22981186740386186,0.12659593852263057,0.17509463678942963,-1.0,0.277394598242836,0.2263885108165467,0.31726207972313003,0.015212549279822435
PTGER2,0.8067393853192553,0.1044127632536848,0.0022999711429446115,-1.0,0.651689945286682,0.5216057291667064,0.001510950104435737,0.15769866700145016,0.00522525331902785,0.08866081048140494,-1.0,0.012844852508976278,0.14930610132711547,0.4454273500931799,0.10818514919240112,0.386802632674607,0.5554834335390717,0.021588775588896037,0.14886218081981317,0.0454302441715649,0.6946020761444074,0.11558833004322054
FLRT2,0.003341234159128622,0.2608136467711234,0.028527951092089995,0.0007659925904820683,0.5434918798848712,0.316414960972251,0.015442170597014051,-1.0,0.09562423657705016,-1.0,0.01821465546125166,0.004822107519495279,0.24216159113570676,0.1868528580406116,0.012812305290726736,0.057235247732116155,9.399161028699284e-07,0.43570844404769704,0.03277088766300181,0.02607472859994769,0.09382741020212737,-1.0
